"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"KELLER","Fabienne","UMP","Union pour un Mouvement Populaire","F","Bas-Rhin","fabienne-keller","http://www.senat.fr/senateur/keller_fabienne04061f.html"
"KERDRAON","Ronan","SOC","Parti socialiste","H","Côtes-d'Armor","ronan-kerdraon","http://www.senat.fr/senateur/kerdraon_ronan10003h.html"
"KHIARI","Bariza","SOC","Parti socialiste","F","Paris","bariza-khiari","http://www.senat.fr/senateur/khiari_bariza04077p.html"
"KLÈS","Virginie","SOC","Parti socialiste","F","Ille-et-Vilaine","virginie-kles","http://www.senat.fr/senateur/kles_virginie08032s.html"
"KRATTINGER","Yves","SOC","Parti socialiste","H","Haute-Saône","yves-krattinger","http://www.senat.fr/senateur/krattinger_yves03001n.html"
"LABAZÉE","Georges","SOC","Parti socialiste","H","Pyrénées-Atlantiques","georges-labazee","http://www.senat.fr/senateur/labazee_georges11112d.html"
"LABBÉ","Joël","ECOLO","Europe Écologie Les Verts","H","Morbihan","joel-labbe","http://www.senat.fr/senateur/labbe_joel11099a.html"
"LABORDE","Françoise","RDSE","Parti radical de gauche","F","Haute-Garonne","francoise-laborde","http://www.senat.fr/senateur/laborde_francoise08031r.html"
"LAMÉNIE","Marc","UMP","Union pour un Mouvement Populaire","H","Ardennes","marc-lamenie","http://www.senat.fr/senateur/lamenie_marc07029t.html"
"LAMURE","Élisabeth","UMP","Union pour un Mouvement Populaire","F","Rhône","elisabeth-lamure","http://www.senat.fr/senateur/lamure_elisabeth04049k.html"
"LARCHER","Serge","SOC","Parti progressiste Martiniquais","H","Martinique","serge-larcher","http://www.senat.fr/senateur/larcher_serge04094q.html"
"LARCHER","Gérard","UMP","Union pour un Mouvement Populaire","H","Yvelines","gerard-larcher","http://www.senat.fr/senateur/larcher_gerard86034e.html"
"LASSERRE","Jean-Jacques","UDI-UC","Le Centre pour la France","H","Pyrénées-Atlantiques","jean-jacques-lasserre","http://www.senat.fr/senateur/lasserre_jean_jacques11111c.html"
"LAUFOAULU","Robert","UMP","Rassemblement UMP (Rassemblement pour la Calédonie dans la République)","H","Wallis-et-Futuna","robert-laufoaulu","http://www.senat.fr/senateur/laufoaulu_robert98005n.html"
"LAURENT","Pierre","CRC","Parti communiste Français","H","Paris","pierre-laurent","http://www.senat.fr/senateur/laurent_pierre12041x.html"
"LAURENT","Daniel","UMP","Union pour un Mouvement Populaire","H","Charente-Maritime","daniel-laurent","http://www.senat.fr/senateur/laurent_daniel08015r.html"
